Centro;Pedido;Llegada;Días;Estado;Distancia
Este;3/4/2013 13:49;3/10/2013 10:02;584.236;A tiempo;345
Este;3/4/2013 13:54;3/9/2013 9:08;480.139;A tiempo;283
Este;3/4/2013 13:56;3/9/2013 16:30;510.694;A tiempo;90
Este;3/4/2013 14:04;3/10/2013 8:01;574.792;A tiempo;473
Este;3/4/2013 14:08;3/12/2013 8:05;774.792;Tardía;207
Este;3/4/2013 14:11;3/9/2013 9:46;481.597;A tiempo;442
Este;3/4/2013 14:12;3/8/2013 10:52;386.111;A tiempo;200
Este;3/4/2013 14:15;3/10/2013 8:13;574.861;A tiempo;231
Este;3/4/2013 14:18;3/9/2013 8:13;474.653;A tiempo;348
Este;3/4/2013 14:29;3/6/2013 11:07;185.972;A tiempo;197
Este;3/4/2013 14:30;3/7/2013 8:12;27.375;A tiempo;265
Este;3/4/2013 14:41;3/8/2013 15:04;401.597;A tiempo;333
Este;3/4/2013 14:50;;;Pedido pend;224
Este;3/4/2013 14:53;3/10/2013 13:46;595.347;A tiempo;307
Este;3/4/2013 14:57;3/9/2013 8:56;474.931;A tiempo;146
Este;3/4/2013 15:05;3/7/2013 12:42;290.069;A tiempo;214
Este;3/4/2013 15:11;3/9/2013 9:06;474.653;A tiempo;126
Este;3/4/2013 15:16;3/8/2013 8:56;373.611;A tiempo;170
Este;3/4/2013 15:19;3/8/2013 9:11;374.444;A tiempo;333
Este;3/4/2013 15:24;3/8/2013 9:00;373.333;A tiempo;226
Este;3/4/2013 15:36;3/9/2013 9:26;474.306;A tiempo;364
Este;3/4/2013 15:43;3/7/2013 16:07;301.667;A tiempo;368
Este;3/4/2013 15:50;3/7/2013 9:27;273.403;A tiempo;428
Este;3/4/2013 15:51;3/9/2013 9:31;473.611;A tiempo;286
Este;3/4/2013 15:58;3/7/2013 9:06;271.389;A tiempo;174
Este;3/4/2013 16:00;3/6/2013 14:20;193.056;A tiempo;210
Este;3/4/2013 16:04;3/9/2013 9:08;471.111;A tiempo;190
Este;3/4/2013 16:06;3/8/2013 9:07;370.903;A tiempo;274
Este;3/4/2013 16:08;3/8/2013 8:57;370.069;A tiempo;285
Este;3/4/2013 16:10;3/10/2013 10:02;574.444;A tiempo;334
Este;3/4/2013 16:13;3/8/2013 9:02;370.069;A tiempo;371
Este;3/4/2013 16:14;3/9/2013 10:02;474.167;A tiempo;226
Este;3/4/2013 16:18;3/8/2013 9:42;3.725;A tiempo;137
Este;3/4/2013 16:24;3/10/2013 15:14;595.139;A tiempo;452
Este;3/4/2013 16:33;3/8/2013 9:46;371.736;A tiempo;268
Este;3/4/2013 16:34;3/10/2013 10:02;572.778;A tiempo;101
Este;3/4/2013 16:37;3/8/2013 8:01;364.167;A tiempo;224
Este;3/4/2013 16:39;3/9/2013 10:34;474.653;A tiempo;423
Este;3/4/2013 16:43;3/9/2013 10:39;474.722;A tiempo;441
Este;3/4/2013 16:50;;;Pedido pend;500
Este;3/4/2013 16:56;3/9/2013 11:10;475.972;A tiempo;243
Central;3/4/2013 8:46;3/6/2013 16:56;234.028;A tiempo;307
Central;3/4/2013 8:52;3/7/2013 15:12;326.389;A tiempo;340
Central;3/4/2013 8:55;3/8/2013 15:10;426.042;A tiempo;327
Central;3/4/2013 8:58;3/7/2013 14:59;325.069;A tiempo;81
Central;3/4/2013 9:04;3/9/2013 10:12;504.722;A tiempo;235
Central;3/4/2013 9:06;3/10/2013 16:13;629.653;Tardía;259
Central;3/4/2013 9:08;3/9/2013 11:17;508.958;A tiempo;328
Central;3/4/2013 9:09;3/9/2013 10:14;504.514;A tiempo;226
Central;3/4/2013 9:11;3/7/2013 15:46;327.431;A tiempo;312
Central;3/4/2013 9:14;3/7/2013 15:17;325.208;A tiempo;184
Central;3/4/2013 9:16;3/9/2013 11:37;509.792;A tiempo;145
Central;3/4/2013 9:21;3/10/2013 8:56;598.264;A tiempo;348
Central;3/4/2013 9:26;;;Pedido pend;232
Central;3/4/2013 9:30;3/9/2013 15:41;525.764;A tiempo;386
Central;3/4/2013 9:34;3/9/2013 16:09;527.431;A tiempo;246
Central;3/4/2013 9:34;3/9/2013 10:47;505.069;A tiempo;265
Central;3/4/2013 9:41;3/10/2013 17:13;631.389;Tardía;59
Central;3/4/2013 9:44;3/7/2013 9:17;298.125;A tiempo;306
Central;3/4/2013 9:47;3/8/2013 16:08;426.458;A tiempo;258
Central;3/4/2013 9:57;3/6/2013 15:59;225.139;A tiempo;484
Central;3/4/2013 10:07;3/6/2013 16:13;225.417;A tiempo;174
Central;3/4/2013 10:09;3/6/2013 12:18;208.958;A tiempo;500
Central;3/4/2013 10:13;3/8/2013 17:18;429.514;A tiempo;230
Central;3/4/2013 10:18;3/6/2013 16:49;227.153;A tiempo;315
Central;3/4/2013 10:19;3/6/2013 12:57;210.972;A tiempo;208
Central;3/4/2013 10:25;3/7/2013 16:46;326.458;A tiempo;159
Central;3/4/2013 10:29;3/8/2013 10:37;400.556;A tiempo;146
Central;3/4/2013 10:41;3/8/2013 17:06;426.736;A tiempo;94
Central;3/4/2013 10:45;3/8/2013 16:49;425.278;A tiempo;271
Central;3/4/2013 10:48;3/8/2013 16:56;425.556;A tiempo;181
Central;3/4/2013 10:51;3/7/2013 10:04;296.736;A tiempo;201
Central;3/4/2013 10:54;3/6/2013 17:19;226.736;A tiempo;228
Central;3/4/2013 10:55;3/9/2013 17:18;526.597;A tiempo;255
Central;3/4/2013 10:58;3/6/2013 13:49;211.875;A tiempo;54
Central;3/4/2013 11:01;3/7/2013 15:14;317.569;A tiempo;360
Central;3/4/2013 11:05;3/11/2013 12:46;707.014;Tardía;498
Central;3/4/2013 11:08;3/9/2013 17:26;52.625;A tiempo;380
Central;3/4/2013 11:10;3/8/2013 17:20;425.694;A tiempo;334
Central;3/4/2013 11:15;3/5/2013 17:40;126.736;A tiempo;242
Central;3/4/2013 11:21;3/7/2013 17:35;325.972;A tiempo;123
Central;3/4/2013 11:26;3/8/2013 11:07;398.681;A tiempo;315
Central;3/4/2013 11:32;;;Pedido pend;105
Central;3/4/2013 11:35;3/6/2013 12:46;204.931;A tiempo;284
Central;3/4/2013 11:37;3/7/2013 9:14;290.069;A tiempo;376
Central;3/4/2013 11:39;3/9/2013 12:46;504.653;A tiempo;161
Central;3/4/2013 11:49;3/8/2013 16:00;417.431;A tiempo;264
Central;3/4/2013 11:51;3/8/2013 9:06;388.542;A tiempo;312
Central;3/4/2013 11:53;3/8/2013 13:04;404.931;A tiempo;252
Central;3/4/2013 11:54;3/8/2013 10:49;395.486;A tiempo;196
Central;3/4/2013 0:00;;;Pedido pend;268
Central;3/4/2013 11:56;3/8/2013 11:08;396.667;A tiempo;267
Central;3/4/2013 12:00;3/7/2013 9:46;290.694;A tiempo;106
Central;3/4/2013 12:02;3/9/2013 10:02;491.667;A tiempo;357
Central;3/4/2013 12:06;3/10/2013 8:56;586.806;A tiempo;154
Central;3/4/2013 12:08;3/6/2013 14:32;2.1;A tiempo;333
Central;3/4/2013 12:13;3/8/2013 15:40;414.375;A tiempo;270
Central;3/4/2013 12:17;3/6/2013 8:09;182.778;A tiempo;363
Central;3/4/2013 12:22;3/8/2013 13:34;4.05;A tiempo;314
Central;3/4/2013 12:23;3/7/2013 8:51;285.278;A tiempo;228
Central;3/4/2013 12:29;3/9/2013 11:19;495.139;A tiempo;208
Central;3/4/2013 12:37;3/8/2013 17:23;419.861;A tiempo;284
Central;3/4/2013 12:43;3/8/2013 13:41;404.028;A tiempo;328
Central;3/4/2013 12:49;3/6/2013 15:46;212.292;A tiempo;187
Central;3/4/2013 12:52;;;Pedido pend;364
Central;3/4/2013 12:59;3/8/2013 11:37;394.306;A tiempo;224
Central;3/4/2013 13:02;3/9/2013 16:45;515.486;A tiempo;175
Central;3/4/2013 13:05;3/8/2013 14:17;4.05;A tiempo;265
Central;3/4/2013 13:08;3/10/2013 16:00;611.944;Tardía;110
Central;3/4/2013 13:10;3/9/2013 15:38;510.278;A tiempo;395
Central;3/4/2013 13:16;3/8/2013 8:09;378.681;A tiempo;52
Central;3/4/2013 13:17;3/10/2013 10:01;586.389;A tiempo;276
Central;3/4/2013 13:30;3/8/2013 9:35;383.681;A tiempo;312
Central;3/4/2013 13:34;3/6/2013 8:16;177.917;A tiempo;394
Central;3/4/2013 13:41;3/9/2013 13:08;497.708;A tiempo;370
Central;3/4/2013 13:50;3/7/2013 12:02;2.925;A tiempo;229
Central;3/4/2013 13:55;3/10/2013 12:59;596.111;A tiempo;334
Central;3/4/2013 14:03;3/8/2013 8:02;374.931;A tiempo;269
Central;3/4/2013 14:07;3/10/2013 16:00;607.847;Tardía;179
Central;3/4/2013 14:10;3/7/2013 16:24;309.306;A tiempo;354
Central;3/4/2013 14:16;3/8/2013 9:32;380.278;A tiempo;433
Central;3/4/2013 14:24;3/6/2013 8:18;174.583;A tiempo;157
Central;3/4/2013 14:30;3/6/2013 8:00;172.917;A tiempo;329
Central;3/4/2013 14:32;3/8/2013 12:09;390.069;A tiempo;185
Central;3/4/2013 14:43;3/7/2013 8:40;274.792;A tiempo;416
Central;3/4/2013 14:54;3/8/2013 8:22;372.778;A tiempo;266
Central;3/4/2013 14:59;3/8/2013 8:56;374.792;A tiempo;165
Central;3/4/2013 15:08;3/7/2013 13:20;2.925;A tiempo;59
Central;3/4/2013 15:11;3/8/2013 8:53;37.375;A tiempo;298
Central;3/4/2013 15:13;3/10/2013 9:04;574.375;A tiempo;188
Central;3/4/2013 15:22;3/8/2013 9:02;373.611;A tiempo;294
Central;3/4/2013 15:26;3/11/2013 8:28;670.972;Tardía;187
Central;3/4/2013 15:29;;;Pedido pend;96
Central;3/4/2013 15:32;3/10/2013 13:46;592.639;A tiempo;260
Central;3/4/2013 15:37;3/9/2013 9:09;473.056;A tiempo;319
Central;3/4/2013 15:42;3/9/2013 8:37;470.486;A tiempo;210
Central;3/4/2013 15:48;3/8/2013 16:07;401.319;A tiempo;357
Central;3/4/2013 15:54;3/9/2013 9:28;473.194;A tiempo;261
Central;3/4/2013 16:02;3/7/2013 9:36;273.194;A tiempo;221
Central;3/4/2013 16:08;3/8/2013 8:49;369.514;A tiempo;274
Central;3/4/2013 16:11;3/8/2013 9:57;374.028;A tiempo;182
Central;3/4/2013 16:14;3/9/2013 10:06;474.444;A tiempo;182
Central;3/4/2013 16:18;3/9/2013 8:07;465.903;A tiempo;191
Central;3/4/2013 16:22;3/8/2013 10:20;374.861;A tiempo;98
Central;3/4/2013 16:29;;;Pedido pend;346
Central;3/4/2013 16:39;3/9/2013 10:38;474.931;A tiempo;32
Oeste;3/4/2013 8:22;3/7/2013 15:00;327.639;A tiempo;252
Oeste;3/4/2013 8:30;3/6/2013 16:30;233.333;A tiempo;259
Oeste;3/4/2013 8:42;3/7/2013 17:30;336.667;A tiempo;227
Oeste;3/4/2013 8:45;3/5/2013 15:45;129.167;A tiempo;303
Oeste;3/4/2013 8:47;3/8/2013 17:02;434.375;A tiempo;95
Oeste;3/4/2013 9:02;3/6/2013 16:35;231.458;A tiempo;302
Oeste;3/4/2013 9:04;3/8/2013 11:02;408.194;A tiempo;94
Oeste;3/4/2013 9:05;3/6/2013 16:57;232.778;A tiempo;281
Oeste;3/4/2013 9:05;3/7/2013 15:40;327.431;A tiempo;284
Oeste;3/4/2013 9:22;3/7/2013 17:25;333.542;A tiempo;350
Oeste;3/4/2013 9:38;3/8/2013 17:39;433.403;A tiempo;227
Oeste;3/4/2013 9:44;3/7/2013 10:08;301.667;A tiempo;291
Oeste;3/4/2013 9:46;3/7/2013 9:50;300.278;A tiempo;271
Oeste;3/4/2013 9:50;;;Pedido pend;346
Oeste;3/4/2013 9:55;3/7/2013 16:56;329.236;A tiempo;352
Oeste;3/4/2013 9:57;3/6/2013 17:12;230.208;A tiempo;173
Oeste;3/4/2013 10:00;3/7/2013 16:06;325.417;A tiempo;239
Oeste;3/4/2013 10:11;3/7/2013 9:51;298.611;A tiempo;213
Oeste;3/4/2013 10:16;3/6/2013 16:22;225.417;A tiempo;149
Oeste;3/4/2013 10:18;3/8/2013 9:00;394.583;A tiempo;275
Oeste;3/4/2013 10:22;3/9/2013 16:46;526.667;A tiempo;91
Oeste;3/4/2013 10:25;3/5/2013 16:29;125.278;A tiempo;109
Oeste;3/4/2013 10:29;3/7/2013 17:30;329.236;A tiempo;68
Oeste;3/4/2013 10:33;3/8/2013 13:55;414.028;A tiempo;370
Oeste;3/4/2013 10:40;3/6/2013 16:48;225.556;A tiempo;233
Oeste;3/4/2013 10:45;3/7/2013 10:38;299.514;A tiempo;407
Oeste;3/4/2013 10:50;3/8/2013 17:00;425.694;A tiempo;240
Oeste;3/4/2013 10:52;3/7/2013 17:32;327.778;A tiempo;124
Oeste;3/4/2013 10:55;3/6/2013 16:56;225.069;A tiempo;171
Oeste;3/4/2013 11:00;3/7/2013 17:24;326.667;A tiempo;232
Oeste;3/4/2013 11:02;3/5/2013 15:02;116.667;A tiempo;176
Oeste;3/4/2013 11:05;3/6/2013 14:12;212.986;A tiempo;251
Oeste;3/4/2013 11:08;3/6/2013 17:12;225.278;A tiempo;108
Oeste;3/4/2013 11:09;3/7/2013 17:15;325.417;A tiempo;232
Oeste;3/4/2013 11:15;3/8/2013 10:08;395.347;A tiempo;310
Oeste;3/4/2013 11:18;3/7/2013 17:36;32.625;A tiempo;223
Oeste;3/4/2013 11:20;3/6/2013 17:45;226.736;A tiempo;229
Oeste;3/4/2013 11:22;3/7/2013 11:50;301.944;A tiempo;185
Oeste;3/4/2013 11:24;;;Pedido pend;97
Oeste;3/4/2013 11:25;3/8/2013 15:03;415.139;A tiempo;218
Oeste;3/4/2013 11:29;3/7/2013 10:10;294.514;A tiempo;377
Oeste;3/4/2013 11:30;3/8/2013 17:38;425.556;A tiempo;312
Oeste;3/4/2013 11:32;3/7/2013 15:15;315.486;A tiempo;197
Oeste;3/4/2013 11:33;3/8/2013 17:45;425.833;A tiempo;220
Oeste;3/4/2013 11:38;3/6/2013 17:42;225.278;A tiempo;284
Oeste;3/4/2013 11:45;3/7/2013 10:50;296.181;A tiempo;270
Oeste;3/4/2013 11:50;3/9/2013 12:31;502.847;A tiempo;231
Oeste;3/4/2013 11:53;3/8/2013 10:30;394.236;A tiempo;342
Oeste;3/4/2013 11:54;3/6/2013 17:58;225.278;A tiempo;155
Oeste;3/4/2013 12:00;3/7/2013 8:06;28.375;A tiempo;294
Oeste;3/4/2013 12:00;3/9/2013 14:12;509.167;A tiempo;239
Oeste;3/4/2013 12:02;3/5/2013 9:58;0.91389;A tiempo;468
Oeste;3/4/2013 12:05;3/8/2013 9:55;390.972;A tiempo;299
Oeste;3/4/2013 12:10;3/6/2013 16:32;218.194;A tiempo;306
Oeste;3/4/2013 12:11;3/8/2013 18:12;425.069;A tiempo;323
Oeste;3/4/2013 12:12;3/6/2013 14:02;207.639;A tiempo;269
Oeste;3/4/2013 12:17;3/6/2013 10:52;194.097;A tiempo;187
Oeste;3/4/2013 12:23;3/8/2013 8:35;384.167;A tiempo;408
Oeste;3/4/2013 12:24;3/6/2013 16:05;215.347;A tiempo;171
Oeste;3/4/2013 12:28;3/5/2013 9:22;0.87083;A tiempo;97
Oeste;3/4/2013 12:32;3/9/2013 17:08;519.167;A tiempo;333
Oeste;3/4/2013 12:35;3/9/2013 9:02;485.208;A tiempo;229
Oeste;3/4/2013 12:42;3/8/2013 14:14;406.389;A tiempo;239
Oeste;3/4/2013 12:59;3/6/2013 10:13;188.472;A tiempo;225
Oeste;3/4/2013 13:08;3/6/2013 11:50;194.583;A tiempo;297
Oeste;3/4/2013 13:12;3/7/2013 9:50;285.972;A tiempo;274
Oeste;3/4/2013 13:18;3/8/2013 10:50;389.722;A tiempo;296
Oeste;3/4/2013 13:20;3/9/2013 11:50;49.375;A tiempo;216
Oeste;3/4/2013 13:24;3/6/2013 8:46;180.694;A tiempo;342
Oeste;3/4/2013 13:25;3/6/2013 14:50;205.903;A tiempo;173
Oeste;3/4/2013 13:26;3/6/2013 8:59;181.458;A tiempo;352
Oeste;3/4/2013 13:37;3/7/2013 14:22;303.125;A tiempo;182
Oeste;3/4/2013 13:44;3/5/2013 16:13;110.347;A tiempo;200
Oeste;3/4/2013 13:48;3/8/2013 11:50;391.806;A tiempo;303
Oeste;3/4/2013 13:49;3/9/2013 8:20;477.153;A tiempo;244
Oeste;3/4/2013 13:59;3/7/2013 10:32;285.625;A tiempo;119
Oeste;3/4/2013 14:02;3/6/2013 8:01;174.931;A tiempo;156
Oeste;3/4/2013 14:12;3/7/2013 16:55;311.319;A tiempo;302
Oeste;3/4/2013 14:16;3/6/2013 11:56;190.278;A tiempo;336
Oeste;3/4/2013 14:29;3/7/2013 12:35;292.083;A tiempo;132
Oeste;3/4/2013 14:37;3/7/2013 8:25;274.167;A tiempo;234
Oeste;3/4/2013 14:45;3/9/2013 8:08;472.431;A tiempo;156
Oeste;3/4/2013 14:46;3/6/2013 8:45;174.931;A tiempo;224
Oeste;3/4/2013 15:08;3/7/2013 9:45;277.569;A tiempo;299
Oeste;3/4/2013 15:12;3/7/2013 9:03;274.375;A tiempo;314
Oeste;3/4/2013 15:15;3/6/2013 16:50;206.597;A tiempo;290
Oeste;3/4/2013 15:20;3/8/2013 8:18;370.694;A tiempo;138
Oeste;3/4/2013 15:23;3/6/2013 9:02;173.542;A tiempo;237
Oeste;3/4/2013 15:30;3/7/2013 16:00;302.083;A tiempo;116
Oeste;3/4/2013 15:35;3/8/2013 16:40;404.514;A tiempo;426
Oeste;3/4/2013 15:42;3/6/2013 9:12;172.917;A tiempo;446
Oeste;3/4/2013 15:46;3/7/2013 14:23;294.236;A tiempo;322
Oeste;3/4/2013 15:50;3/6/2013 13:09;188.819;A tiempo;438
Oeste;3/4/2013 15:51;3/7/2013 9:30;273.542;A tiempo;124
Oeste;3/4/2013 15:56;3/5/2013 16:42;103.194;A tiempo;389
Oeste;3/4/2013 16:00;3/8/2013 9:23;372.431;A tiempo;230
Oeste;3/4/2013 16:08;3/7/2013 11:56;2.825;A tiempo;286
Oeste;3/4/2013 16:10;3/10/2013 8:30;568.056;A tiempo;217
Oeste;3/4/2013 16:12;3/6/2013 8:21;167.292;A tiempo;265
Oeste;3/4/2013 16:15;3/7/2013 10:05;274.306;A tiempo;199
Oeste;3/4/2013 16:18;3/6/2013 10:12;174.583;A tiempo;324
Oeste;3/4/2013 16:20;3/6/2013 9:20;170.833;A tiempo;228
Oeste;3/4/2013 16:26;3/7/2013 11:34;279.722;A tiempo;278
Oeste;3/4/2013 16:32;3/8/2013 9:57;372.569;A tiempo;473
Oeste;3/4/2013 16:39;;;Pedido pend;279
